"","id","x1","x2","epsilon","treat_continuous","treat_binary","Y"
"1",1,2.60041151545693,1.25824338082787,3.66047560564483,65.3180484891816,FALSE,59.1722580237493
"2",2,0.729655449447891,4.3512759146756,5.4344816026352,93.4349469903507,TRUE,99.2661130234375
"3",3,10.2182843957776,-1.48977333674591,5.29116489245806,89.940728043595,TRUE,83.8507458180773
"4",4,1.31786144709527,0.626475221665644,1.30583557765059,25.0649506074605,FALSE,21.4525322806226
"5",5,0.703697821151303,3.67625424693034,4.51361856355929,78.6155608908882,FALSE,75.6459983417657
"6",6,5.78631816393337,0.210960552343492,4.3690052506714,75.8113499928414,FALSE,66.1533379832606
"7",7,-1.32821840456086,7.62543038374394,8.00391703479551,136.081911694692,TRUE,139.517993835375
"8",8,2.77503957223177,0.0971806973166349,1.38611326934279,27.2627522704062,FALSE,20.1044092153997
"9",9,2.09553815388076,0.106992593386964,1.53903103203498,28.4593361533034,FALSE,22.5271654714678
"10",10,1.19931493931677,1.22334554969197,2.43500056898791,42.2564978187333,FALSE,38.4111120081416
"11",11,1.10593677742565,0.225103259134414,1.61905218283219,29.4625533871994,FALSE,24.2105789517876
"12",12,3.60069451282598,2.18927307371603,4.5871845499851,78.6237471169695,FALSE,74.4536025541444
"13",13,-1.29244729373598,-0.892932633318256,-0.392689628412855,-7.09819015834234,FALSE,-6.03898252608075
"14",14,0.842693999048991,1.77782777748309,2.73877123499067,49.4264797412159,FALSE,44.2694662345581
"15",15,2.56251790594778,-1.17571884612946,0.742666465650204,15.2934979417262,FALSE,10.4089961030778
"16",16,-0.279501847675649,3.308843166686,3.46708149277829,60.835529048006,FALSE,59.6664146250365
"17",17,-0.537868699030084,4.6172753869819,4.60499912396471,82.5274754705999,FALSE,77.77640505401
"18",18,1.05576811434436,-0.125990750135633,-0.0195140346812654,4.88361812702788,FALSE,0.163212073743974
"19",19,-3.67851614418233,2.64234334982503,1.1455449606264,19.5510852082596,FALSE,23.5271947053389
"20",20,-2.61553714866993,3.8564393819672,3.01782574255692,53.2805070490258,FALSE,54.8690744422493
"21",21,2.28844334749889,0.836405698021978,2.62573578766022,46.6997001077026,FALSE,41.6645170709018
"22",22,-0.663319400103878,2.27458143097105,2.78773504095485,47.9305963007936,FALSE,46.8862432051709
"23",23,-4.68178906134066,2.95245357430084,1.2157525913631,24.3603379321897,FALSE,25.4760352236536
"24",24,0.836305130343266,2.00876752853249,3.68548197105482,61.6511481067935,FALSE,58.1277875536099
"25",25,1.8198241132748,0.748038278419785,2.69704211774414,46.9160960116246,FALSE,41.9159056653927
"26",26,3.10569844684404,1.02893666772644,3.47333253668791,59.2282419558158,FALSE,53.2511047094267
"27",27,5.70264911297013,-3.75971321222879,-0.403103766402481,-4.86646326008415,FALSE,-13.5129029891243
"28",28,-3.72030180210062,6.0408802248652,4.88876135489496,85.0678584857912,FALSE,84.431182598524
"29",29,3.60346572482497,2.33097127323135,4.46621350212224,79.4644648467013,FALSE,71.834750823944
"30",30,1.33608996864667,-0.915499812217698,-0.362582358998182,-2.01605316504185,FALSE,-8.3194323259835
"31",31,2.76585161854923,0.769240743362964,2.98743992610916,51.0330182524491,FALSE,45.7482010202409
"32",32,1.42214691705158,1.82273687570288,3.36113245868,58.4934347720338,FALSE,54.6997137211684
"33",33,-2.94481692615746,5.6426585876462,3.72205783265009,67.9238189522618,FALSE,67.9616791593681
"34",34,-0.725052524547592,4.92220448213689,5.17008644449222,90.9704603629295,TRUE,94.0905157013777
"35",35,-2.83042460476131,1.90408630703411,1.479357850363,25.2729287399668,FALSE,25.7777789862718
"36",36,1.94288893990117,3.38290392613331,5.20899473777031,89.735682802122,FALSE,86.2435319849498
"37",37,-2.02892579532235,4.26467804723214,3.59721950822772,61.6573140395518,FALSE,62.7059764258339
"38",38,-8.88471612755931,7.86593586221854,3.44233206134717,62.052511335273,FALSE,65.7281665327825
"39",39,2.09536217103291,2.19780838771914,4.73130098126092,79.1942413210798,FALSE,75.6159323320546
"40",40,1.82553158811179,0.697474560997603,1.71684794902403,32.5401427468872,FALSE,26.2403802803953
"41",41,-0.80495518171241,1.999980284391,1.59167396744029,30.9499535224506,FALSE,27.2998588670531
"42",42,1.0895180624067,-1.78647875219833,-0.814333262301939,-13.6143972247278,FALSE,-16.5661857981682
"43",43,4.21002315552401,-0.399035833311126,2.48939075739944,43.3550890162576,FALSE,37.2158489214026
"44",44,2.26500289944413,-1.83132683542807,0.0713358757954872,3.81393318723531,FALSE,-2.89592201069388
"45",45,-4.10559626678282,2.45112340246988,0.456709295074337,12.271076246973,FALSE,10.6698825599058
